LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
PCA3,Prostate Cancer,"qPCR, RNAi, Northern blot, Cell apoptosis assay etc.",up-regulated,26080435,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,PCR etc.,up-regulated,25445501,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"qPCR, in vitro knockdown etc.",up-regulated,23130941,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"RNA-seq, qPCR etc.",up-regulated,22349460,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,up-regulated,20114043,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,up-regulated,20332487,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,up-regulated,19319183,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,Northern blot etc.,up-regulated,14607216,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,up-regulated,11980670,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"qPCR, Northern blot etc.",up-regulated,10606244,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.",differential expression,27743381,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"qPCR, Northern blot etc.",up-regulated,23726266,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCAN-R1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,Also Known As: PCAT6; KDM5BAS1; ncRNA-a2; KDM5B-AS1; onco-lncRNA-96,2,"NR_046325.1, NR_046326.1",03-04-2021 00:00,"3,2","1,1","0,0",VALIDATED,PCAN-R1; KDM5BAS1; ncRNA-a2; KDM5B-AS1; onco-lncRNA-96
"PCAN-R2 ",Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,Also Known as: PCAT7; PCAN-R2,4 (PCAT7),"PCAT7 (NR_121566.2, NR_121567.2 , NR_121568.2, NR_121569.2)","16, 15, 11, 15 (PCAT7)","15,14,10,14","1,1,1,1","0,0,0,0",VALIDATED  (PCAT7),PCAN-R2; PCAT7
PCAT1,Prostate Cancer,"qPCR, RNA-seq, RIP",up-regulated,30773595,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,qPCR etc.,up-regulated,28945760,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"qPCR, RNAi, Luciferase reporter assay etc.",up-regulated,25425964,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,qPCR etc.,up-regulated,29378170,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"qPCR, in vitro knockdown, Western blot",up-regulated,28884413,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"qPCR, luciferase reporter assays, Western blot etc.",up-regulated,28922730,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"Microarray, qPCR, RNAi, Western blot, Luciferase reporter assay etc.",up-regulated,24473064,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT1,Prostate Cancer,"RNA-seq, qPCR, Western blot etc.",up-regulated,21804560,"Also Known As: PCA1; PiHL; PCAT-1

Some (older, not checked for PQS) PCAT1 long non-coding RNA ""other"" ncRNA (complete sequence-HQ605084.1) was also there in result.",1,NR_045262.2,14,14,0,0,REVIEWED,PCA1; PiHL; PCAT-1
PCAT14,Prostate Cancer,"RNA-seq, qPCR, RNAi, ISH etc.",up-regulated,27566105,,1,NR_109832.1,7,8,0,0,VALIDATED,prostate cancer associated transcript 14;prostate cancer associated transcript 14 (non-protein coding);HSALNG0134403;PCAT14
PCAT18,Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,24519926,Also Known As: LINC01092,1,NR_024259.1 ,8,11,1,0,VALIDATED,LINC01092
PCAT19,prostate cancer,"qPCR, Western blot, luciferase reporter assay",,30033362,"Also Known As: LINC01190

Variant X1,X2,X3: PREDICTED Sequence,",5,"NR_040109.2, NR_136334.1 (Variant 1 and 2)
+
XR_001756399.1 , XR_001756400.1 , XR_002958911.1 (Variant X1, X2 and X3)","18, 15 (Variant 1 and 2)
+
5, 4, 7","18,15","0,0","0,0","VALIDATED (Variant 1 and 2)
+
PREDICTED (Variant X1, X2, X3)",LINC01190
PCAT29,Prostate Cancer,"qPCR, Western blot etc.",down-regulated,28467474,,2," NR_126437.1, NR_126438.1",04-07-2021 00:00,"7,4","0,0","0,0",REVIEWED,"prostate cancer associated transcript 29;prostate cancer associated transcript 29 (non-protein coding);DRAIC;downregulated RNA in cancer, inhibitor of cell invasion and migration;NONHSAG017290.2;lnc-RPLP1-12;HSALNG0106856;NONHSAG017288.2;HSALNG0106873;HSALNG0106864;HSALNG0106875;HSALNG0106861;HSALNG0106865;HSALNG0106878;NONHSAG017294.2;HSALNG0106871"
PCAT29,Prostate Cancer,"Microarray, qPCR etc.",down-regulated,25030374,,2," NR_126437.1, NR_126438.1",04-07-2021 00:00,"7,4","0,0","0,0",REVIEWED,"prostate cancer associated transcript 29;prostate cancer associated transcript 29 (non-protein coding);DRAIC;downregulated RNA in cancer, inhibitor of cell invasion and migration;NONHSAG017290.2;lnc-RPLP1-12;HSALNG0106856;NONHSAG017288.2;HSALNG0106873;HSALNG0106864;HSALNG0106875;HSALNG0106861;HSALNG0106865;HSALNG0106878;NONHSAG017294.2;HSALNG0106871"
PCAT3,Prostate Cancer,"qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29552304,Also known asDD3; PCA3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCAT5,Prostate Cancer,"RNA-seq, qPCR, RNAi etc.",up-regulated,26282172,"Also Known As: LINC01452, TPCAT-10-36067",1,NR_110138.1,25,25,0,0,VALIDATED,LINC01452; TPCAT-10-36067
PCAT7,Prostate Cancer,"qRT-PCR, Western blotting, Luciferase reporter assay, RIP",up-regulated,31925912,Also Known As: PCAN-R2,4,"NR_121566.2, NR_121567.2 , NR_121568.2, NR_121569.2","16, 15, 11, 15","15,14,10,14","1,1,1,1","0,0,0,0",VALIDATED ,PCAN-R2
PCAT9,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29552304,"Also Known As: PCGEM1 ; LINC00071; NCRNA00071
 
 Some (older-not checked for PQS) Long non-coding RNA pcgem1 (pcgem1 gene) ""antisense RNA"" ncRNA (TPA: HG975429.1) was also there in result.",2,"NR_002769.1, NR_152587.1",08-07-2021 00:00,"7,8","0,0","0,0",REVIEWED,PCAT9; LINC00071; NCRNA00071
PCGEM1,Prostate Cancer,"qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, MTT assay etc.",up-regulated,27682980,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"qPCR, Flow cytometry assay etc.",down-regulated,25619388,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,up-regulated,25512540,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,differential expression,23459097,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,up-regulated,20868494,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,up-regulated,19186008,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,Northern blot etc.,up-regulated,16569192,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,up-regulated,16515751,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,qPCR etc.,up-regulated,14724589,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"RNA-seq, qPCR etc.",up-regulated,25744782,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"qPCR, Western blot, RIP etc.",up-regulated,24727738,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"qPCR, RIP etc.",up-regulated,23945587,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCGEM1,Prostate Cancer,"qPCR, Northern blot, FISH, ISH etc.",up-regulated,11050243,,Refer PCAT9,,,,,,REVIEWED,"PCGEM1 prostate-specific transcript;NCRNA00071;LINC00071;PCAT9;non-protein coding RNA 71;long intergenic non-protein coding RNA 71;prostate cancer associated transcript 9;prostate cancer gene expression marker 1;prostate-specific transcript 1 (non-protein coding);PCGEM1, prostate-specific transcript (non-protein coding);PCGEM1, prostate-specific transcript;HSALNG0021209;HSALNG0021208;PCGEM1;NONHSAG030128.2;NONHSAG030129.2"
PCSEAT,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29803673,Also Known As: PRCAT38,1,NR_164474.1,25,22,3,0,VALIDATED,PRCAT38
PCSEAT,Prostate Cancer,"qPCR, Western blot etc.",up-regulated,29803673,Also Known As: PRCAT38,1,NR_164474.1,25,22,3,0,VALIDATED,PRCAT38
"PlncRNA-1",Prostate Cancer,"qPCR, Western blot etc.",up-regulated,22264502,Also Known As: CBR3-AS1; PlncRNA1; PlncRNA-1,3 (CBR3-AS1),"CBR3-AS1 (NR_038892.1, NR_038893.1, NR_038894.1)","10, 9, 6 (CBR3-AS1)","10,9,6","0,0,0","0,0,0",VALIDATED (CBR3-AS1),PlncRNA1; PlncRNA-1; CBR3-AS1
"PlncRNA-1",Prostate Cancer,"qPCR, Western blot, Northern blot, RIP, ChIP, Flow cytometry assay etc.",up-regulated,26808578,Also Known As: CBR3-AS1; PlncRNA1; PlncRNA-1,3 (CBR3-AS1),"CBR3-AS1 (NR_038892.1, NR_038893.1, NR_038894.1)","10, 9, 6 (CBR3-AS1)","10,9,6","0,0,0","0,0,0",VALIDATED (CBR3-AS1),PlncRNA1; PlncRNA-1; CBR3-AS1
"PlncRNA-1",Prostate Cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",up-regulated,28212533,Also Known As: CBR3-AS1; PlncRNA1; PlncRNA-1,3 (CBR3-AS1),"CBR3-AS1 (NR_038892.1, NR_038893.1, NR_038894.1)","10, 9, 6 (CBR3-AS1)","10,9,6","0,0,0","0,0,0",VALIDATED (CBR3-AS1),PlncRNA1; PlncRNA-1; CBR3-AS1
PRCAT38,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,31405024,Also Known As: PRCAT38,1,NR_164474.1,25,22,3,0,VALIDATED,PRCAT38
PRCAT38,Prostate Cancer,qPCR etc.,up-regulated,29671889,Also Known As: PRCAT38,1,NR_164474.1,25,22,3,0,VALIDATED,PRCAT38
PRNCR1,Prostate Cancer,"qPCR, Northern blot etc.",up-regulated,20874843,Also Known As: PCAT8; CARLo-3,1,NR_109833.1,61,60,1,0,VALIDATED,PCAT8; CARLo-3
PRNCR1,Prostate Cancer,"qPCR, RIP etc.",up-regulated,23945587,Also Known As: PCAT8; CARLo-3,1,NR_109833.1,61,60,1,0,VALIDATED,PCAT8; CARLo-3
PROX1-AS1,Prostate Cancer,"qPCR, Luciferase reporter assay etc",up-regulated,32271411,,1,NR_037850.2,30,30,0,0,VALIDATED,PROX1 antisense RNA 1;PROX1 antisense RNA 1 (non-protein coding);PROX1-AS1;HSALNG0010460;NONHSAG004261.2
PRRT3-AS1,Prostate Cancer,"RT-qPCR, Western blot, Microarray",up-regulated,32086850,,1,NR_046734.1,3,3,0,0,VALIDATED,PRRT3 antisense RNA 1;PRRT3 antisense RNA 1 (non-protein coding);HSALNG0024078;NONHSAG034409.2
PSLNR,Prostate Cancer,"qPCR, Western blot, RNAi",down-regulated,31269242,Also Known As: LA16c-83F12.6,1,NR_132385.2,6,6,0,0,VALIDATED,LA16c-83F12.6
PTENP1,Prostate Cancer,"qPCR, Western blot, Dual luciferase reporter assay, Cell proliferation assay etc.",down-regulated,20577206,"Processed pseudogene;
Also known as
PTH2; PTEN2; PTEN-rs; PTENpg1; psiPTEN;
Search Results for PTENP1-AS also displayed",1,HG975434.1,20,,,,REVIEWED,"phosphatase and tensin homolog pseudogene 1;PTEN2;psiPTEN;PTH2;PTEN-rs;PTENpg1;phosphatase and tensin homolog pseudogene 1 (functional);PTEN/MMAC1 pseudogene;phosphatase and tensin homolog (mutated in multiple advanced cancers 1), pseudogene 1"
PVT1,Prostate Cancer,"qPCR, Western blot, RNAi, other",down-regulated,30250582,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
PVT1,Prostate Cancer,"qPCR, ChIP etc.",differential expression,21814516,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
PVT1,Prostate Cancer,"RNA-seq, qPCR, Western blot etc.",up-regulated,29452232,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
