LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,aka
FENDRR,neuroendocrine prostate cancer,"RNA-seq, Microarray, qPCR etc.",down-regulated,29757368.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14, 23 (FENDRR_Variant 1 and 2)
+
25 [FENDRR_Variant 3 (older)]","0, 1 (FENDRR_Variant 1 and 2)
+
 1 [FENDRR_Variant 3 (older)]","0, 0 (FENDRR_Variant 1 and 2)
+
 0 [FENDRR_Variant 3 (older)]",REVIEWED (Variant 1 and 2),"3 (1 - 2G, 2- C-rich);
4 (3 - 2G, 1- C-rich);
8 (3 - 2G, 5- C-rich);","[0.803 (2G); -0.982, -0.867 (C-rich)];
[0.803, 0.859, 0.86 (2G), -0.909 (C-rich)];
[0.803, 0.86 (2G), -0.8, -0.911, -0.88, -0.896, 0.859, -0.909 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29465000.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14, 23 (FENDRR_Variant 1 and 2)
+
25 [FENDRR_Variant 3 (older)]","0, 1 (FENDRR_Variant 1 and 2)
+
 1 [FENDRR_Variant 3 (older)]","0, 0 (FENDRR_Variant 1 and 2)
+
 0 [FENDRR_Variant 3 (older)]",REVIEWED (Variant 1 and 2),"3 (1 - 2G, 2- C-rich);
4 (3 - 2G, 1- C-rich);
8 (3 - 2G, 5- C-rich);","[0.803 (2G); -0.982, -0.867 (C-rich)];
[0.803, 0.859, 0.86 (2G), -0.909 (C-rich)];
[0.803, 0.86 (2G), -0.8, -0.911, -0.88, -0.896, 0.859, -0.909 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FER1L4,prostate cancer,"RT-qPCR, Western blot",down-regulated,32140077.0,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,"20 (10 -2G, 10- C-rich)","[0.947, -0.774, -1.022, -0.911, -0.894, -0.872, 0.741, 0.911, -0.744, -0.902, -0.843, 0.885, 0.833, 0.854, 0.765, -0.796, -0.82, 0.933, 0.911, 0.75]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,C20orf124
FEZF1-AS1,prostate cancer,"qPCR, Western blot etc",up-regulated,32196579.0,,1,NR_036484.1,22,21,1,0,VALIDATED,"11 (6-2G, 5-C-rich)","[0.911, 0.933, 0.898, 1.021, 0.894 (2G); 0.875 -0.755, -0.891, -0.789, -0.913, -1 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,prostate cancer,"qPCR, Western blot",up-regulated,31298365.0,,1,NR_036484.1,22,21,1,0,VALIDATED,"11 (6-2G, 5-C-rich)","[0.911, 0.933, 0.898, 1.021, 0.894 (2G); 0.875 -0.755, -0.891, -0.789, -0.913, -1 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FOXC2-AS1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30389560.0,Also known as: ODRUL,1,NR_125795.1,3,3,0,0,VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 Hunter,ODRUL
FOXP4-AS1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, RIP",up-regulated,31209207.0,,3,"NR_126415.1, NR_126416.1, NR_126417.1","2, 2, 1","2, 2, 1","0, 0, 0","0, 0, 0",VALIDATED,"2 (C-rich), 0, 0","-0.911, -0.959 (C-rich)",No similarity to any PQS (2G) from QGRS mapper,"0,0,0","0,0,0",No PQS found in G4 Hunter,FOXP4 antisense RNA 1;FOXP4-AS1;HSALNG0050030;NONHSAG043770.2;HSALNG0050034
GAS5,prostate cancer,"qPCR, other",down-regulated,31423164.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"qPCR, Western blot etc.",down-regulated,28396462.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,qPCR etc.,down-regulated,27922078.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"qPCR, RNAi, Cell proliferation assay etc.",down-regulated,25650269.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"qPCR, RNAi etc.",up-regulated,23676682.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,qPCR etc.,down-regulated,18836484.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"qPCR, RNAi, Western blot, Dual luciferase reporter assay, Cell proliferation assay, ISH etc.",down-regulated,27743383.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"qPCR, RNA interference and transient transfection etc.",up-regulated,28771526.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
GAS5,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",REVIEWED,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 hunter,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
",No PQS found in G4 Hunter,SNHG2; NCRNA00030
"GASL1 
GASAL1",prostate cancer,"RT-qPCR, Western blotting  etc.",up-regulated,31186749.0,Also Known As: GASAL1; GASL1,1 (GASAL1),NR_149020.1 (GASAL1),45 (GASAL1),37 (GASAL1),6 (GASAL1),2 (GASAL1),VALIDATED (GASAL1),"22 (9-C-rich, 2-4G, 3-2G, 7-3G)","[-1, -0.833, -0.925,
-0.911, -0.911, -1.065,
-0.911, -1.074, -0.911
(C-rich); 0.696, 0.911,0.913 
(2G); 0.888, 1.125 (4G);
0.971, 0.933, 0.911,
0.911, 0.911, 0.872, 0.775, 0.92 (3G)]","The PQS 1 (3G) of QGRS Mapper is similar to / a part of PQS 2 (4G) of G4 Hunter, with a right frame-shift in G4 Hunter

 PQS 3 (3G) of QGRS  Mapper is similar to / a part of PQS 6 (3G) of G4 Hunter, with a left frame-shift in G4 Hunter

 PQS 4 (3G) of QGRS  Mapper is similar to / a part of PQS 7 (3G) of G4 Hunter. 

By looking at all the PQS, it is visible that there is a slight overlap between PQS 2,3,4,5,6 of G4 hunter (3G) and can be considered as one PQS.","9 (4-C-rich, 5","[-1.426, -1.246, -1.388, 
-1.326 (C-rich); 1.185,
 1.467 (4G) 1.291, 1.383, 1.4 (3G)]","PQS 1 (3G) of QGRS Mapper is similar to / a part of PQS 2 (4G) of G4 Hunter, with a right frame-shift in G4 Hunter

PQS 1 (3G) of QGRS  Mapper is similar to / a part of PQS 2 (4G) of G4 Hunter, with a left frame-shift in G4 Hunter

By looking at all PQS, it is visible that there is a slight overlap between PQS 2,3,4,5 of G4 hunter (3G) and can be considered as one PQS. This one entire PQS inlcudes G-tracts from
three 3G PQS of QGRS Mapper.
",GASL1
GHET1,prostate cancer,"qPCR, Western blot, in vitro knockdown, etc.",up-regulated,30609158.0,Also Known As: ncRNA-GHET1,1,NR_130107.1,10,9,1,0,REVIEWED,"5 (1-2G, 1-3G, 3-C-rich)
","[0.891, 0.644 (2G); 0.973 (3G); '-0.911, -0.79, -0.959 (C-rich)]", PQS 10 (3G) of QGRS Mapper is similar / a part of PQS 6 (3G) of G4 hunter with a left frame shift in G4 hunter,1,1.413,PQS 10 (3G) of QGRS Mapper is similar / a part of PQS 1 (3G) of G4 hunter with the same main G4 tracts.,lncRNA-GHET1
GLIDR,prostate cancer,qPCR etc.,up-regulated,28211799.0,"Also Known As: LINC01172, TCONS_00015562",4,"NR_015363.2, NR_126044.1, NR_12045.1, NR_126046.1","21, 17, 9, 8","19, 15, 9, 8","2, 2, 0, 0","0, 0, 0, 0",VALIDATED,"7 (5-2G, 2-C-rich);
7 (5-2G, 2-C-rich);
3 (C-rich)
"," [0.937, 1.167, 1.052, 0.898, 0.911 [2G]; 0.843, -0.909 [C-rich]];

 [0.937, 1.167, 1.052, 0.898, 0.911 [2G]; 0.843, -0.909 [C-rich]];

[-0.843, -0.925, -0.909 (C-rich)]
",No similarity to any PQS (2G) from QGRS mapper,"2 (3G);
2 (3G);
0;
0","[1.422, 1.443 [3G]];
[1.422, 1.443 [3G]];
0;
0","PQS 1  (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

No PQS found in G4 Hunter for variants 3 and 4.",glioblastoma down-regulated RNA;MGC21881;TCONS_00015562;FAM88A;family with sequence similarity 88 member A;long intergenic non-protein coding RNA 1172;LINC01172;HSALNG0071221;GLIDR;NONHSAG052261.2
H19,prostate cancer,"qPCR, Western blot, Microarray",differential expression,32146726.0,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27, 26, 11","9, 9, 1","2, 2, 0",REVIEWED,"32 (1 - 4G, 9 - 2G, 13 - 3G, 8 - C-rich);

32 (1 - 4G, 9 - 2G, 13 - 3G, 8 - C-rich); 

5 (C-rich)","[1.305 (4G), 0.837, 0.882, 0.833, 0.607, 0.824, 0.978, 0.891, 0.933, 0.911 (2G), 0.962, 0.891, 0.93,  0.934, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.958,  1.061,  0.953 (3G), -0.911, -0.911, -0.957, -0.621, -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305 (4G), 0.837, 0.882, 0.833, 0.607, 0.824, 0.978, 0.891, 0.933, 0.911 (2G), 0.962, 0.891, 0.93,  0.934, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.958,  1.061,  0.953 (3G), -0.911, -0.911, -0.957, -0.621, -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]","PQS 7 (3G) of  QGRS mapper and PQS 8 (3G) of G4 hunter have similar G tracts. 

PQS 14 (3G) of QGRS mapper and the PQS 15 (3G) of G4 hunter have similar G tracts. 

PQS 16 (3G) of QGRS mapper and the PQS 18 (3G) of G4 hunter have similar G tracts.

PQS 20 (3G) of QGRS mapper and the PQS 21 (3G) of G4 hunter have similar G tracts.

PQS 21 (3G) of QGRS mapper and the PQS 22 (3G) of G4 hunter have similar G tracts.

By looking at PQS 2 and 3 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

By looking at PQS 4 and 5 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

By looking at PQS 14, 15 and 16 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ","2;
 
2;

0 (3G)","[1.583 (4G), 1.37 (3G)];

[1.583 (4G), 1.37 (3G)];

[0]","In variant 1 and 2, PQS 1 (4G) of QGRS mapper and the PQS 1 (4G) of G4 hunter have similar G tracts.

In variant 1 and 2, PQS 3 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

No PQS found in G4 hunter.",ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
